Latitude ,Longitude ,MaximumDepth ,SecchiDepth ,Sampling Depth ,T_Surf ,T_Epi ,Zeu / Zmix,BuoyFreq,TP ,TN ,Chlorophyl_a ,MC_YR ,MC_dmRR ,MC_RR ,MC_dmLR ,MC_LR ,CYN ,ATX ,ToxinRichness,TDI,TTC,Toxicity
46.67375,6.322252778,18,1.05,10.5,22.5,21.1,0.21,0.01,0.02,0.57,0.62,0,0,0,0.001,0,0,0,2,0.42,0.001,1
46.51416111,6.773583333,13,1.6,9,20.4,19.3,0.5,0.01,0.09,0.18,5.91,0.002,0,0,0.003,0.004,0,0,3,1.05,0.009,1
46.35461667,6.152488889,3.5,3.5,3,26,25.9,2,0,0.12,0.21,5.33,0,0,0,0.002,0.019,0,0,3,0.39,0.021,1
47.28744722,8.2115,48,1.75,12,23.9,19.4,0.52,0.01,0.02,1.07,6.71,0.071,0.302,0,0.29,0.005,0,0,4,1,0.668,2
46.63895278,6.286463889,32,4,11,21.5,19.7,0.91,0.01,0.07,0.36,2.59,0.028,0.09,0,0.056,0.003,0,0,4,1.07,0.177,2
46.92760833,7.074027778,45,1.2,14,26.6,20.4,0.2,0.01,0.07,1.43,1.13,0,0,0,0,0.004,0,0,1,0,0.004,1
47.35079167,8.782402778,36,2.3,10,22.3,15.1,1.02,0.01,0.02,0.66,2.66,0.005,0,0,0.011,0,0,0,2,0.62,0.016,1
47.14369444,8.150269444,87,1.5,13,22,17.1,0.51,0.01,0.05,0.54,4.17,0.002,0,0,0.004,0,0,0,2,0.65,0.006,1
47.0899,8.080633333,27,2.6,10,23.3,18.4,1.82,0.01,0.09,1.38,11.18,0.04,0.072,0,0.115,0.015,0,0,4,1.18,0.242,2
47.32166667,8.565,143,4.7,15,22.9,18.6,1.33,0.01,0.03,0.6,7.6,0.191,1.031,0,0.332,0,0,0,3,0.86,1.554,3
49.496334,16.696983,33,4.4,7,22,18.5,3.55,0.01,0.19,1.23,0.72,0.005,0,0.026,0.002,0.011,0,0,4,1.02,0.044,1
49.237133,16.511232,23.5,3.04,13,22.8,20.6,1.93,0.01,0.15,2.57,2.51,0.006,0.051,0.069,0.005,0.023,0,0,5,1.26,0.154,2
49.737267,15.914233,12,1.49,5.5,20,18.4,1.54,0,0.08,0.83,17.05,0.002,0,0.047,0.003,0.017,0,0,4,0.84,0.069,1
49.121517,17.774866,13,0.8,4,23.7,22.6,3.2,0.01,0.05,0.41,54.5,0.002,0,0,0,0,0,0.084,2,0.11,0.086,1
49.535168,15.882933,4.5,0.75,3,20.6,20.5,0.5,0,0.04,1.5,23.2,0.065,0,0.121,0.008,0.105,0,0.002,5,1.19,0.301,2
48.77795,16.742849,5.5,0.32,3,22.1,21.4,1.28,0,0.33,0.8,69.38,0,0,0,0.015,0,0,0.006,2,0.58,0.021,1
48.893284,16.643499,5.3,0.5,3,23.4,22.3,2,0.01,0.22,1.03,46.07,0.002,0,0,0,0.019,0,0.001,3,0.49,0.022,1
49.632233,15.90435,3,0.4,2,18.9,18.9,0.4,0,0.05,0.41,55.67,0.002,0,0,0.028,0,0,0,2,0.24,0.03,1
53.14811,12.8870556,3,0.7,2.5,21.4,20.9,2.99,0,0.03,1.18,37.36,0.044,0,0,0.024,0,0.018,0,3,1.02,0.086,1
53.315693,13.452971,30,0.9,10,22.1,18.3,0.32,0.01,0.08,0.86,2.08,0.002,0,0,0.003,0,0,0,3,0.7,0.005,1
53.254358,13.204838,3,0.9,2.5,17.9,17.8,0.78,0,0.02,0.33,19.59,0,0,0,0,0,0.042,0,1,0,0.042,1
53.07803,13.1714444,2.2,0.6,2,22.3,22.2,0.55,0,0.08,0.7,67.46,0.002,0,0.095,0,0.026,0.02,0.21,5,1.05,0.353,2
52.441171,13.657738,7.7,0.6,6.5,21.9,21.9,0.24,0,0.1,0.64,1.53,0.002,0,0.042,0.003,0.039,0,0,4,0.91,0.086,1
53.174916,13.856108,28,3.5,11,23.6,18.3,0.83,0,0.04,0.32,2.7,0.002,0,0,0.003,0.011,0,0,4,0.81,0.016,1
53.237915,12.861389,30,0.67,15,23.6,16.4,0.13,0.01,0.02,0.13,3.31,0,0.047,0,0.003,0,0.014,0.005,4,0.9,0.069,1
53.28372,13.1958611,5,0.69,5,18.4,17.7,0.38,0.01,0.02,0.32,34.29,0.015,0.332,0,0.02,0,0.183,0.016,5,0.99,0.566,2
53.487471,12.349336,20,1.28,15,21.5,19,0.18,0.01,0.06,1.01,2.02,0.002,0.029,0,0,0,0,0,2,0.24,0.031,1
53.18828,13.1496111,3.5,0.67,2.5,22.2,21.5,2.68,0,0.06,0.32,1.95,0.014,0.192,0,0.019,0.015,0.388,0.103,6,1.21,0.731,2
55.77266667,12.45663889,3.5,0.6,2.5,19.2,19.2,0.6,0,0.03,0.09,61.24,0.059,0,0.136,0.009,0.133,0.005,0.002,6,1.23,0.344,2
55.81802778,12.2695,7,1.8,5.5,20.5,20.1,1.38,0,0.04,0.51,16.44,0.009,0,0.03,0.002,0.019,0,0.003,6,1.25,0.063,1
55.80522222,12.36719444,14.7,1.2,10,19.6,19.1,0.17,0,0.03,0.72,27.69,0.002,0,0,0,0,0,0,2,0.06,0.002,1
55.48463889,11.76422222,11,1.05,3.5,21.2,20.8,0.25,0,0.06,0.2,32.32,0.034,0,0.633,0.015,0.345,0.011,0.294,6,1.22,1.332,3
55.77472222,12.47911111,3.3,0.45,2.5,19.4,19.3,0.56,0,0.02,0.56,112.61,0.025,0,0.053,0.039,0.036,0.013,0.174,6,1.44,0.34,2
58.57116667,26.71133333,3.5,1.5,1.5,19.6,19.6,1.5,0,0.07,0.64,3.34,0.025,0,0.017,0.006,0.069,0,0,4,1.07,0.117,2
58.12,27.575,15.3,0.7,6.5,20.8,20.1,0.25,0,0.04,0.77,52.26,0.018,0,0.236,0.026,0.12,0,0.019,5,1.13,0.419,2
58.588889,26.655,4.5,0.65,3.6,19.8,19.5,0.41,0,0.04,0.33,39.3,0.269,0,1.017,0.077,1.092,0,0,4,1.08,2.455,3
58.53608333,26.64883333,25,5.17,22.5,23.1,20.7,3.85,0.01,0.07,0.92,6.64,0.005,0,0,0.005,0.023,0,0,3,0.86,0.033,1
58.21191667,26.10275,6,0.55,4.1,19.4,19.3,0.39,0,0.05,0.63,67.63,0.009,0,0.119,0.006,0.033,0,0,4,0.84,0.167,2
43.28138889,-8.295,17.8,1.75,9,19.9,19.1,0.38,0,0.08,0.81,6.42,0.003,0,0.058,0.142,3.683,0,0,4,0.24,3.886,3
39.66731111,-7.532625,50,1.2,5,22.8,22.6,0.28,0,0.03,0.33,49.62,0.152,0.075,1.523,0.055,1.335,0,0.18,6,1.18,3.32,3
43.491886,-8.312181,11,1.43,7,21.5,20.6,0.49,0,0.02,3.5,2.91,0,0,0.015,0.003,0.004,0,0,3,0.84,0.022,1
39.44975,-3.338555556,1.2,1,5,26.4,26.4,2.5,0,0.03,4.57,1.79,0,0,0.006,0,0,0,0,1,0,0.006,1
36.75555,-2.9464,3.2,0.2,1.8,31.4,31.2,0.23,0.01,0.08,4.1,103.45,0.018,0,0,0,0.13,0.002,0,3,0.43,0.15,2
41.24938889,0.429194444,34,3.5,9,25.4,25.1,0.94,0,0.03,2.12,9.63,0,0,0,0,0.004,0,0,1,0,0.004,1
39.77873333,-5.6054,80,1.1,14,25.1,24.3,0.04,0,0.03,1.22,58.93,0.007,0,0.114,0.012,0.32,0.001,0.283,6,1.14,0.737,2
41.72095,2.341644444,58.5,0.96,10,24.6,21.7,0.39,0.01,0.04,0.21,13.59,0,1.814,0,0,0,0,0,1,0,1.814,3
62.23918889,25.77259167,25,1.8,5,20.5,20.1,0.39,0,0.05,0.8,5.25,0.002,0,0.017,0.003,0.005,0,0,4,1.07,0.027,1
60.355,22.20833333,15.2,3.1,10,19.4,18.2,0.59,0.01,0.12,0.22,2.93,0,0.076,0,0.002,0,0,0,2,0.14,0.078,1
60.45138889,22.39527778,2.9,0.7,2,19.6,19.5,0.69,0,0.03,0.33,60.35,0.002,0,0.329,0.098,0.184,0,0,4,1.01,0.613,2
38.17156667,23.90511111,54,4.5,26,21.7,20.4,0.34,0,0.05,0.77,25.04,0.024,0,0.023,0.002,0.038,0,0,4,1.14,0.087,1
