PSU,O2,temp.,SS,SRP,DOP,PP,NH4N,NO3N,DON,PN,TN/TP,Fe,SiO4Si,DOC,TPOC,Windspeedinsitu,Depth,DINtoDIP,Cyanobacteria,Chlorophyceae,Euglenophyceae,Diatomophyceae,Flagellata   ,Dinoflagellata ,Cryptophytes,picophytoplankton,Bosmina longirostris,Ceriodaphnia sp.,Diaphanosoma brachyurum ,Leptodora kindtii,Acartia longiremis,Acartia tonsa,Eurytemora affinis,Cyclops sp. ,Nauplii Cyclopoida,Nauplii Calanoida,Thermocyclops oithonoides,Eurytemora lacustris,Anureopsis fissa,Ascomorpha saltans,Asplanchna priodonta,Brachionus angularis,Brachionus calyciflorus calyciflorus,Brachionus calyciflorus f.amphiceros,Brachionus calyciflorus spinosus,Brachionus calyciflorus f.anureiformis,Filinia longiseta,Keratella cochlearis cochlearis,Keratella cochlearis f.tecta,Keratella quadrata,Polyarthra vulgaris,Polyarthra platyptera,Pompholyx sp.,Synchaeta sp.,Trichocerca pusilla,Trichocerca similis,Years
3.757624,9.46,18.3,52,3.5,11.7,185,0.039,0.022,0.551,0.759,6.848151848,0.0121,2.3112,7.5,8.565,3.5,3.3,17.42857143,2.35,3.08,0.92,0.23,0,0,0,3.2,0,0,0,0,2.071,0.9298,0.9251,0,0.0025,0.0257,0,0,0,0.0068,0,0,0,0,0,0,1.3152,0.892,0.2714,0,0.0313,0,0,0,0.0045,0.0009,0
3.504707,9.89,19.1,50,4.4,17.5,111.3,0.02,0.025,0.123,1.181,10.12762763,0.0136,2.1157,7.86,8.52,0,3.6,10.22727273,6.39,2.87,0.49,0.01,0,0,0,2.42,0,0,0,0,0.5014,0.0378,0,0,0,0,0,0,0.0003,0,0.0556,0,0.0179,0,0,0,0.0769,0.064,0.0464,0,0.0111,0,0,0.0437,0.0041,0.002,0
3.757624,9.66,18.1,59,3.2,22.8,103.4,0.016,0.008,0.582,0.576,9.13446677,0.0368,2.2641,8.172,8.4915,1,3.4,7.5,10.8,1.64,0.29,0.23,0,0,0,2.49,0,0,0,0,0.0539,0.0207,0,0,0,0,0,0,0,0,0,0.0021,0,0,0,0,0.0426,0.027,0.0186,0,0,0,0,0,0.0028,0.0027,0
3.107266,10.36,19.5,46,4.3,22.3,92.7,0.026,0.021,0.693,0.689,11.9782062,0.0172,2.2623,7.848,8.832,0,2.9,10.93023256,4.91,2.84,0.09,2,0,0,0,3.04,0,0,0,0,0,0,0,0.4273,0.0459,0.0362,0,0,0,0,0.4763,0.1103,0.0974,0,0,0,0.1796,0.3306,0.2084,0,0,0,0.0167,0,0.0099,0.0103,0
2.6194975,11.56,19,42,11.7,30.3,73.2,0.022,0.048,0.383,1.006,12.66493056,0.0237,2.2164,7.536,9.24,0,3,5.982905983,6.62,2.03,0,1.39,1.65,0,0,0.81,0,0,0,0,0,0,0,2.8985,0.0951,0,0,0,0,0,0.2317,0.0599,0,0,0,0,0.0298,0.1502,0.1343,0.0159,0,0,0.0058,0,0.0112,0.0021,0
3.2698555,9.66,17.6,59,7.3,14.9,45,0.032,0.017,0.718,0.586,20.13392857,0.0368,2.1802,7.843,7.979,5,3.2,6.712328767,3.37,2.67,0,0.25,0.25,0,0,2.58,0,0,0,0,0,0,0.0039,0,0.0027,0.0028,0,0,0,0,0,0,0,0,0,0,0.0272,0.007,0.0054,0,0,0,0,0,0,0,0
2.709825,12.12,19.7,72,7.8,13.6,111.2,0.015,0.024,0.309,1.374,12.98642534,0.0187,2.192,8.206,8.7176,1,1.9,5,7.36,6.58,0,0.47,0.22,0,0,2.28,0,0,0,0,0,0,0.0336,0,0.0136,0.0048,0.0118,0,0,0,0.0101,0.0005,0,0,0,0,0.0067,0.0046,0.0022,0,0,0,0,0.0015,0,0,0
3.3782485,9.42,17.8,58,16.2,37.7,60.3,0.028,0.023,0.42,0.713,10.36777583,0.0172,2.1904,7.139,8.7586,4,3.4,3.148148148,3.52,5.04,0,0.3,0.23,0,0,4.05,0,0,0,0,0,0,0.014,0,0.0098,0.0007,0.0114,0,0,0,0,0.002,0,0,0,0,0.0444,0.0158,0.005,0,0,0,0.0001,0,0,0,0
3.721493,9.63,17.5,62,11.7,13,117.6,0.036,0.021,0.727,0.134,6.451159522,0.039,2.1817,7.535,8.4706,4,3.2,4.871794872,2.05,7.47,0,0.06,0.17,0,0,2.61,0,0,0,0,0.0931,0,0,0.0093,0.0138,0.0006,0.0091,0,0.0001,0,0.0014,0,0,0,0,0,0.0466,0.012,0.0044,0,0,0,0.0001,0,0,0,0
4.407982,9.54,18.4,55,7.4,16.2,124.7,0.023,0.024,0.566,0.895,10.16857721,0.0179,2.0537,7.282,8.702,3.5,3,6.351351351,6.3,5.03,0,0.11,0.1,0,0,2.49,0,0,0,0,0,0,0.0129,0.006,0.014,0.0155,0.0179,0,0.0001,0,0,0,0,0,0,0,0.0313,0.0079,0.004,0,0,0,0,0,0,0,0
